编号,颜色,角色名称,动物类型,募集能力,被动效果,宣言名称,宣言消耗,宣言效果,主/副卡,绑定卡,标签
Red_Base_Leader_01,红,雪球,猪,1,雪球的影响力恒为公众资源数。,革命者万岁,0,你的红色角色夺取对位1个资源。,Leader,风车小队,
Red_Base_Sub_01,红,风车小队,猪,2,你的红色角色影响力+1.,风车计划,0,你的红色角色的对位{消耗1}。,Sub,雪球,
Red_Base_Leader_02,红,老少校,猪,3,老少校离场时，你的其他角色夺取对位1个资源。,英格兰之兽,2,选择1名资源最高的角色，其{消耗X}（X为场上资源最高与最低的差值）,Leader,动物主义/七诫,
Red_Base_Leader_03,红,红冠母亲团,禽,2,红冠母亲团每次移动后，其对位{消耗2}。,游鸡战,1,{勤奋}；移动红冠母亲团。,Leader,扰动战术/一切为了孩子,
Red_Base_Leader_04,红,鸽拉松,禽,2,竞选阶段，如果鸽拉松横置，你的其它角色影响力+2。,胜利讯息,1,横置鸽拉松，摸1张牌。,Leader,鸽毛信/通讯架构,
Red_Base_Leader_05,红,灰耗子,鼠,1,灰耗子进场时，夺取对位1个资源。,地下联络网,0,你的红色角色{募集1}。,Leader,地下组织/团体游行法案,
Yellow_Base_Leader_01,黄,莫莉,马,4,莫莉的影响力-4；莫莉所在选区任意一方完胜时选票-1。,人类的恩赐,0,若莫莉影响力为0{募集2}。,Leader,逃离庄园/保留私有财产,
Yellow_Base_Leader_02,黄,那只猫,猫,4,{条约X}；竞选阶段，那只猫获得X票（X为对位本回合得票）.,两头下注,2,为那只猫和对位各{募集2}，由你选择募集来源。,Leader,乘虚而入/贸易税,
Yellow_Base_Leader_03,黄,金不换,禽,5,金不换的维持费用恒为1.,铁公鸡,0,金不换{募集1}。,Leader,资产转移/财政紧缩,
Yellow_Base_Leader_04,黄,波拉尼奥,犬,3,{条约2}；竞选阶段，本选区双方影响力差不超过4时视为平局。,化解纠纷,2,横置波拉尼奥与对位。,Leader,欺软怕硬/商品化和平,
Yellow_Base_Leader_05,黄,货郎稀奇,禽,5,对手也可使用货郎稀奇的宣言；货郎稀奇可以代替其他角色支付维持费用。,公平贸易,0,{勤奋}；将你的1名角色的2个资源转移给货郎稀奇，然后重整该角色。,Leader,头奖/集换中心,
Yellow_SP_Leader_01,黄,唐纳德鸭,禽,5,对位角色宣言后，解除唐纳德鸭的疲劳状态。,让庄园再次伟大,2,再次执行你的上一个行动效果。,,,
Blue_Base_Leader_01,蓝,吱嘎,猪,3,每当1张{已审查}的牌被打出或弃置，吱嘎{募集1}。,公正公开,1,{审查}对手1张手牌或你的1张在场角色牌。,Leader,午夜修宪/新七诫,
Blue_Base_Leader_02,蓝,摩西,禽,3,摩西的对位无法使用宣言行动。,净化心灵,2,双方各弃1张牌，然后{审查}各自牌堆顶1张牌。,Leader,神父的告解室/蜜糖山传说,
Blue_Base_Leader_03,蓝,变色龙,爬行,3,任何功能牌或宣言的消耗都可以由变色龙支付。,拟态转播,0,选择场上或{已审查}角色的1个宣言行动，由变色龙免费执行。,Leader,两面派/新闻学联盟,
Blue_Base_Leader_04,蓝,穆里埃尔,羊,3,每当一张牌被{审查}时，穆里埃尔{募集1}。,见证,1,{审查}对手1张手牌，如果是角色牌，可以额外{审查}对手1张手牌。,Leader,缄默不言/记录在案,
Blue_Base_Leader_05,蓝,绵羊合唱团,羊,4,对手的所有可使用的宣言具有{独裁}。,四条腿好,2,选择1名角色，其{募集4}，然后将其横置。,Leader,两条腿更好/领袖宣传费,
Green_Base_Leader_01,绿,拳击手,马,4,拳击手{消耗}时，其中1个资源改为从自然资源消耗。（横置时改为2个）,加倍劳作,2,{勤奋}；横置拳击手，摸1张牌，你的其他绿色角色各获得1个自然资源。,Leader,不眠不休/风车蓝图,
Green_Base_Leader_02,绿,苜蓿,马,3,你的另一名角色离场时，若其还有资源，则转移至苜蓿。,自然庇护所,1,选择1名角色，每有1个空位其获得1个自然资源，若其为绿则额外获得1个。,Leader,警觉/平民互助会,
Green_Base_Leader_03,绿,小树枝,水生,2,小树枝离场时改为回手。,生生不息,2,{抢先}；使小树枝离场。,Leader,老树枝,
Green_Base_Sub_03,绿,老树枝,水生,3,打出老树枝的行动视为具有{抢先}。,快速召回,2,{抢先}；从弃牌堆选择1名角色回手。,Sub,小树枝,
Green_Base_Leader_04,绿,本杰明,驴,3,本杰明无法被选择。,与世无争,1,使1名角色{疲劳}。,Leader,冷眼旁观/无政府主义,
Green_Base_Leader_05,绿,五桶合作社,奶牛,5,行动阶段开始时，自然资源中每有5个资源，五桶合作社{募集1}。,每天一斤奶,1,{抢先}；使你的下一个行动具有{抢先}。,Leader,自由放牧/牧场计划,
Purple_Base_Leader_01,紫,拿破仑,猪,4,拿破仑对位的影响力-4,肃清运动,3,{独裁}；横置拿破仑对位角色。,Leader,突击检查/宵禁令,
Purple_Base_Leader_02,紫,粉眼,猪,3,粉眼离场时，横置对位角色。,以身殉职,1,选择你的1名角色，将其资源全部转移给另一名角色。,Leader,替死鬼/领袖高于一切,
Purple_Base_Leader_03,紫,小小田,犬,3,任意角色重置时，你可以弃一张牌，取消这次重置。,执法必严,2,{独裁}；选择1名{疲劳}角色离场。,Laeder,追猎/墓地税,
Purple_Base_Leader_04,紫,九犬护卫队,犬,9,九犬护卫队和{傀儡}每次失去资源时，{消耗1}。,分则能成,3,{傀儡4}.,Laeder,酷刑/游行禁令,
Purple_Base_Leader_05,紫,公牛将军,牛,5,公牛将军完胜时，额外获得1选票。,一往无前,1,{独裁}；移动公牛将军，然后目标选区进行一次维持费用结算。,Leader,全票通过/大独裁者,
Purple_SP_Leader_01,紫,肥头,猪,3,肥头离场时，可以将肥头二号从任意位置打出至本选区。,纯正血统,1,{独裁}；从牌堆中检索1张猪角色加入手牌。,Leader,肥头二号,
Purple_SP_Sub_01,紫,肥头二号,猪,3,肥头二号离场后，本回合你不能再打出角色至本选区。,只有一个声音,2,{独裁}；本回合所有角色不能发动宣言。,Sub,肥头,
